Exchange Date,Close,Net,%Chg,Open,Low,High,log_return
16-Jun-2021,"4,223.7042",-22.8898,-0.5390%,"4,223.7042","4,223.7042","4,223.7042",-0.005404734
15-Jun-2021,"4,246.5940",-8.5563,-0.2011%,"4,246.5940","4,246.5940","4,246.5940",-0.002012835
14-Jun-2021,"4,255.1503",+7.7105,+0.1815%,"4,255.1503","4,255.1503","4,255.1503",0.001813683
11-Jun-2021,"4,247.4398",+8.2556,+0.1947%,"4,247.4398","4,247.4398","4,247.4398",0.001945556
10-Jun-2021,"4,239.1842",+19.6374,+0.4654%,"4,239.1842","4,239.1842","4,239.1842",0.004643116
09-Jun-2021,"4,219.5468",-7.7082,-0.1823%,"4,219.5468","4,219.5468","4,219.5468",-0.001825117
08-Jun-2021,"4,227.2550",+0.7348,+0.0174%,"4,227.2550","4,227.2550","4,227.2550",0.000173839
07-Jun-2021,"4,226.5202",-3.3704,-0.0797%,"4,226.5202","4,226.5202","4,226.5202",-0.000797123
04-Jun-2021,"4,229.8906",+37.0358,+0.8833%,"4,229.8906","4,229.8906","4,229.8906",0.008794291
03-Jun-2021,"4,192.8548",-15.2644,-0.3627%,"4,192.8548","4,192.8548","4,192.8548",-0.003633964
02-Jun-2021,"4,208.1192",+6.0776,+0.1446%,"4,208.1192","4,208.1192","4,208.1192",0.0014453
01-Jun-2021,"4,202.0416",-2.0689,-0.0492%,"4,202.0416","4,202.0416","4,202.0416",-0.000492235
28-May-2021,"4,204.1105",+3.2347,+0.0770%,"4,204.1105","4,204.1105","4,204.1105",0.00076971
27-May-2021,"4,200.8758",+4.8822,+0.1164%,"4,200.8758","4,200.8758","4,200.8758",0.001162862
26-May-2021,"4,195.9936",+7.8595,+0.1877%,"4,195.9936","4,195.9936","4,195.9936",0.001874853
25-May-2021,"4,188.1341",-8.9132,-0.2124%,"4,188.1341","4,188.1341","4,188.1341",-0.002125942
24-May-2021,"4,197.0473",+41.1895,+0.9911%,"4,197.0473","4,197.0473","4,197.0473",0.009862397
21-May-2021,"4,155.8578",-3.2666,-0.0785%,"4,155.8578","4,155.8578","4,155.8578",-0.000785714
20-May-2021,"4,159.1244",+43.4476,+1.0557%,"4,159.1244","4,159.1244","4,159.1244",0.010501279
19-May-2021,"4,115.6768",-12.1530,-0.2944%,"4,115.6768","4,115.6768","4,115.6768",-0.002948505
18-May-2021,"4,127.8298",-35.4607,-0.8517%,"4,127.8298","4,127.8298","4,127.8298",-0.00855395
17-May-2021,"4,163.2905",-10.5636,-0.2531%,"4,163.2905","4,163.2905","4,163.2905",-0.002534106
14-May-2021,"4,173.8541",+61.3581,+1.4920%,"4,173.8541","4,173.8541","4,173.8541",0.01480971
13-May-2021,"4,112.4960",+49.4581,+1.2173%,"4,112.4960","4,112.4960","4,112.4960",0.012099198
12-May-2021,"4,063.0379",-89.0574,-2.1449%,"4,063.0379","4,063.0379","4,063.0379",-0.021682153
11-May-2021,"4,152.0953",-36.3320,-0.8674%,"4,152.0953","4,152.0953","4,152.0953",-0.008712219
10-May-2021,"4,188.4273",-44.1741,-1.0437%,"4,188.4273","4,188.4273","4,188.4273",-0.010491475
07-May-2021,"4,232.6014",+30.9826,+0.7374%,"4,232.6014","4,232.6014","4,232.6014",0.007346913
06-May-2021,"4,201.6188",+34.0310,+0.8166%,"4,201.6188","4,201.6188","4,201.6188",0.008132476
05-May-2021,"4,167.5878",+2.9288,+0.0703%,"4,167.5878","4,167.5878","4,167.5878",0.000703004
04-May-2021,"4,164.6590",-27.9986,-0.6678%,"4,164.6590","4,164.6590","4,164.6590",-0.006700405
03-May-2021,"4,192.6576",+11.4827,+0.2746%,"4,192.6576","4,192.6576","4,192.6576",0.002742521
30-Apr-2021,"4,181.1749",-30.3000,-0.7195%,"4,181.1749","4,181.1749","4,181.1749",-0.007220635
29-Apr-2021,"4,211.4749",+28.2919,+0.6763%,"4,211.4749","4,211.4749","4,211.4749",0.006740479
28-Apr-2021,"4,183.1830",-3.5352,-0.0844%,"4,183.1830","4,183.1830","4,183.1830",-0.000844741
27-Apr-2021,"4,186.7182",-0.8993,-0.0215%,"4,186.7182","4,186.7182","4,186.7182",-0.000214775
26-Apr-2021,"4,187.6175",+7.4501,+0.1782%,"4,187.6175","4,187.6175","4,187.6175",0.001780663
23-Apr-2021,"4,180.1674",+45.1857,+1.0928%,"4,180.1674","4,180.1674","4,180.1674",0.010868391
22-Apr-2021,"4,134.9817",-38.4399,-0.9211%,"4,134.9817","4,134.9817","4,134.9817",-0.009253324
21-Apr-2021,"4,173.4216",+38.4822,+0.9307%,"4,173.4216","4,173.4216","4,173.4216",0.009263554
20-Apr-2021,"4,134.9394",-28.3187,-0.6802%,"4,134.9394","4,134.9394","4,134.9394",-0.006825292
19-Apr-2021,"4,163.2581",-22.2106,-0.5307%,"4,163.2581","4,163.2581","4,163.2581",-0.005320728
16-Apr-2021,"4,185.4687",+15.0459,+0.3608%,"4,185.4687","4,185.4687","4,185.4687",0.003601271
15-Apr-2021,"4,170.4228",+45.7622,+1.1095%,"4,170.4228","4,170.4228","4,170.4228",0.011033684
14-Apr-2021,"4,124.6606",-16.9332,-0.4089%,"4,124.6606","4,124.6606","4,124.6606",-0.004096952
13-Apr-2021,"4,141.5938",+13.6006,+0.3295%,"4,141.5938","4,141.5938","4,141.5938",0.003289309
12-Apr-2021,"4,127.9932",-0.8089,-0.0196%,"4,127.9932","4,127.9932","4,127.9932",-0.000195936
09-Apr-2021,"4,128.8021",+31.6341,+0.7721%,"4,128.8021","4,128.8021","4,128.8021",0.007691313
08-Apr-2021,"4,097.1680",+17.2151,+0.4219%,"4,097.1680","4,097.1680","4,097.1680",0.004210559
07-Apr-2021,"4,079.9529",+6.0122,+0.1476%,"4,079.9529","4,079.9529","4,079.9529",0.001474682
06-Apr-2021,"4,073.9407",-3.9730,-0.0974%,"4,073.9407","4,073.9407","4,073.9407",-0.000974748
05-Apr-2021,"4,077.9137",+58.0483,+1.4440%,"4,077.9137","4,077.9137","4,077.9137",0.01433709
01-Apr-2021,"4,019.8654",+46.9732,+1.1823%,"4,019.8654","4,019.8654","4,019.8654",0.011754076
31-Mar-2021,"3,972.8922",+14.3399,+0.3623%,"3,972.8922","3,972.8922","3,972.8922",0.003615966
30-Mar-2021,"3,958.5523",-12.5424,-0.3158%,"3,958.5523","3,958.5523","3,958.5523",-0.003163422
29-Mar-2021,"3,971.0947",-3.4422,-0.0866%,"3,971.0947","3,971.0947","3,971.0947",-0.000866438
26-Mar-2021,"3,974.5369",+65.0214,+1.6632%,"3,974.5369","3,974.5369","3,974.5369",0.016494785
25-Mar-2021,"3,909.5155",+20.3735,+0.5239%,"3,909.5155","3,909.5155","3,909.5155",0.005224886
24-Mar-2021,"3,889.1420",-21.3738,-0.5466%,"3,889.1420","3,889.1420","3,889.1420",-0.005480716
23-Mar-2021,"3,910.5158",-30.0694,-0.7631%,"3,910.5158","3,910.5158","3,910.5158",-0.007659957
22-Mar-2021,"3,940.5852",+27.4860,+0.7024%,"3,940.5852","3,940.5852","3,940.5852",0.006999546
19-Mar-2021,"3,913.0992",-2.3621,-0.0603%,"3,913.0992","3,913.0992","3,913.0992",-0.000603457
18-Mar-2021,"3,915.4613",-58.6550,-1.4759%,"3,915.4613","3,915.4613","3,915.4613",-0.014869258
17-Mar-2021,"3,974.1163",+11.4088,+0.2879%,"3,974.1163","3,974.1163","3,974.1163",0.002874905
16-Mar-2021,"3,962.7075",-6.2297,-0.1570%,"3,962.7075","3,962.7075","3,962.7075",-0.001570847
15-Mar-2021,"3,968.9372",+25.5944,+0.6491%,"3,968.9372","3,968.9372","3,968.9372",0.006469561
12-Mar-2021,"3,943.3428",+4.0044,+0.1017%,"3,943.3428","3,943.3428","3,943.3428",0.001016
11-Mar-2021,"3,939.3384",+40.5333,+1.0396%,"3,939.3384","3,939.3384","3,939.3384",0.010342669
